user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,email,username,price,store_id,event_time,age_group
USR_1000,2026-06-01,South,Clothing,451.59,Completed,Los Angeles,47,Standard,user_165@example.com,user_165,230.39,STORE_2,2026-06-02 21:03:48,Adult
USR_1000,2026-06-03,West,Electronics,321.94,Unknown,Los Angeles,27,Standard,user_181@example.com,user_181,242.9,STORE_4,2026-06-02 11:25:29,Young
USR_1000,2026-06-09,South,Clothing,488.54,Pending,Los Angeles,42,Premium,user_35@example.com,user_35,50.04,STORE_4,2026-06-15 15:30:41,Adult
USR_1001,2026-06-02,North,Clothing,250.5,Active,Los Angeles,43,Premium,user_23@example.com,user_23,8.56,STORE_1,2026-06-05 22:05:22,Adult
USR_1001,2026-06-04,West,Beauty,441.36,Active,Los Angeles,21,Basic,user_17@example.com,user_17,184.04,STORE_3,2026-06-12 15:20:30,Young
USR_1001,2026-06-15,West,Home,412.94,Unknown,Los Angeles,46,Premium,user_2@example.com,user_2,,STORE_4,2026-06-12 03:12:01,Adult
USR_1002,2026-06-05,West,Home,400.94,Pending,Los Angeles,35,Standard,user_16@example.com,user_16,263.37,STORE_2,2026-06-05 22:13:44,Adult
USR_1002,2026-06-06,West,Books,120.59,Pending,Los Angeles,19,Basic,,user_54,39.83,STORE_3,2026-06-13 06:11:39,Young
USR_1002,2026-06-11,West,Beauty,143.98,Active,New York,33,Standard,user_113@example.com,user_113,232.25,STORE_4,2026-06-09 06:48:55,Adult
USR_1003,2026-06-01,North,Home,,Active,Los Angeles,19,Standard,user_148@example.com,user_148,30.88,STORE_5,2026-06-06 16:56:31,Young
USR_1003,2026-06-12,West,Beauty,417.75,Completed,Los Angeles,50,Basic,user_111@example.com,user_111,137.62,STORE_4,2026-06-14 01:15:47,Senior
USR_1004,2026-06-01,East,Home,440.87,Unknown,Los Angeles,60,Premium,user_117@example.com,user_117,182.97,STORE_4,2026-06-10 21:52:20,Senior
USR_1004,2026-06-04,East,Clothing,333.98,Completed,Los Angeles,19,Premium,user_69@example.com,user_69,,STORE_4,2026-06-04 04:30:09,Young
USR_1004,2026-06-08,West,Clothing,81.33,Completed,Los Angeles,37,Basic,user_157@example.com,user_157,,STORE_5,2026-06-04 15:35:41,Adult
USR_1004,2026-06-15,West,Books,171.6,Unknown,Los Angeles,54,Premium,user_92@example.com,user_92,222.73,STORE_2,2026-06-01 09:26:11,Senior
USR_1005,2026-06-01,South,Beauty,145.37,Unknown,Los Angeles,20,Premium,user_18@example.com,user_18,120.57,STORE_3,2026-06-06 17:59:59,Young
USR_1005,2026-06-04,North,Books,151.42,Completed,Los Angeles,35,Premium,user_75@example.com,user_75,20.54,STORE_1,2026-06-02 16:28:33,Adult
USR_1005,2026-06-09,South,Home,362.17,Completed,Chicago,41,Premium,user_146@example.com,user_146,195.95,STORE_5,2026-06-05 12:29:34,Adult
USR_1005,2026-06-12,East,Books,244.09,Completed,Los Angeles,16,Premium,user_47@example.com,user_47,199.13,STORE_2,2026-06-11 17:33:31,Young
USR_1005,2026-06-15,West,Books,309.06,Unknown,Los Angeles,26,Standard,user_13@example.com,user_13,217.75,STORE_2,2026-06-12 08:39:30,Young
USR_1006,2026-06-01,South,Books,368.2,Unknown,Los Angeles,42,Standard,,user_9,220.35,STORE_2,2026-06-09 12:20:11,Adult
USR_1006,2026-06-12,West,Beauty,35.17,Pending,Los Angeles,25,Premium,user_46@example.com,user_46,,STORE_2,2026-06-02 10:18:29,Young
USR_1006,2026-06-15,West,Home,471.91,Active,Los Angeles,32,Premium,user_77@example.com,user_77,,STORE_2,2026-06-10 03:03:53,Adult
USR_1007,2026-06-02,West,Books,319.27,Completed,Houston,23,Premium,,user_149,128.67,STORE_2,2026-06-08 03:51:46,Young
USR_1007,2026-06-08,North,Home,308.72,Pending,Los Angeles,38,Premium,user_58@example.com,,151.36,STORE_2,2026-06-03 04:30:20,Adult
USR_1007,2026-06-13,West,Home,177.2,Active,Los Angeles,26,Standard,user_1@example.com,user_1,204.76,STORE_5,2026-06-11 07:02:36,Young
USR_1007,2026-06-15,North,Books,323.08,Pending,Chicago,48,Standard,user_168@example.com,user_168,297.5,STORE_1,2026-06-03 00:13:32,Adult
USR_1008,2026-06-02,North,Clothing,328.42,Active,New York,45,Basic,user_143@example.com,user_143,272.95,STORE_4,2026-06-08 07:44:38,Adult
USR_1008,2026-06-06,West,Home,406.02,Completed,Los Angeles,32,Basic,user_7@example.com,user_7,69.09,STORE_3,2026-06-12 04:33:13,Adult
